,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:
23,Ford,Bronco,2022,SUV / crossover,Shadow Black,Dark Space Gray,0 mi,1FMEE5DHXNLB10494,NLB10494,"$56,010",Westway Ford,"801 W. Airport Fwy. Irving, TX 75062",Badlands Advanced 4-Door 4WD
24,Ford,Bronco,2022,SUV / crossover,Race Red,Dark Space Gray,0 mi,1FMEE5BP2NLB40311,NLB40311,"$56,460",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",Big Bend 4-Door 4WD
25,Ford,Bronco,2022,SUV / crossover,Oxford White,Dark Space Gray,0 mi,1FMEE5BP2NLB40390,NLB40390,"$56,765",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",Big Bend 4-Door 4WD
26,Ford,Bronco,2022,SUV / crossover,VELOCITY BLUE,Blue (SANDSTONE),3 mi,1FMEE5DP4NLB30943,F11665,"$56,789",DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328",
27,Ford,Bronco,2022,SUV / crossover,Carbonized Gray Metallic,Dark Space Gray,0 mi,1FMEE5BP9NLB46851,NLB46851,"$57,960",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",Big Bend 4-Door 4WD
28,Ford,Bronco,2022,SUV / crossover,Oxford White,Dark Space Gray,0 mi,1FMEE5DH7NLB05611,NLB05611,"$58,730",Westway Ford,"801 W. Airport Fwy. Irving, TX 75062",Badlands Advanced 4-Door 4WD
29,Ford,Bronco,2021,SUV / crossover,Oxford White,Dark Space Gray,61 mi,1FMEE5DP0MLB02135,MLB02135,"$59,815",Grapevine Ford Lincoln,"801 E State Highway 114 Grapevine, TX 76051",
30,Ford,Bronco,2022,SUV / crossover,Cactus Gray,Dark Space Gray,0 mi,1FMDE5BH5NLB16055,T37119,"$59,965",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",Big Bend 4-Door 4WD
31,Ford,Bronco,2022,SUV / crossover,Cactus Gray,CLOTH GRAY/NAVY SEATS BLACK ONYX INTERIOR,0 mi,1FMDE5AP1NLB44511,NLB44511,"$60,100",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",Outer Banks 2-Door 4WD
32,Ford,Bronco,2022,SUV / crossover,Carbonized Gray,Dark Space Gray,0 mi,1FMDE5BH1NLB27182,T37292,"$60,460",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",Big Bend 4-Door 4WD
33,Ford,Bronco,2022,SUV / crossover,Velocity Blue,Dark Space Gray,0 mi,1FMDE5BH9NLB39290,NLB39290,"$60,950",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",Outer Banks 4-Door 4WD
34,Ford,Bronco,2022,SUV / crossover,Cactus Gray,LTHR-TRM/VINYL SSTONE/BLK STS BLACK ONYX INTERIOR,0 mi,1FMEE5DP6NLB31804,NLB31804,"$61,430",Westway Ford,"801 W. Airport Fwy. Irving, TX 75062",
35,Ford,Bronco,2022,SUV / crossover,Shadow Black,Dark Space Gray,0 mi,1FMEE5DP0NLB43298,NLB43298,"$63,970",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",Outer Banks Advanced 4-Door 4WD
36,Ford,Bronco,2022,SUV / crossover,Shadow Black,LTHR-TRM/VINYL GRAY/NAVY STS BLACK ONYX INTERIOR,0 mi,1FMDE5AP2NLB44422,NLB44422,"$66,550",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",Outer Banks 2-Door 4WD
37,Ford,Bronco,2022,SUV / crossover,Blue (Area 51),Dark Space Gray,0 mi,1FMEE5DP2NLA84321,NLA84321,"$67,335",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",Outer Banks Advanced 4-Door 4WD
38,Ford,Bronco,2022,SUV / crossover,Velocity Blue,,66 mi,1FMDE5BH6NLB13259,1060,"$70,823",Electro Car,"2000 Southwest 5th Street Lincoln, NE 68522",
