,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gasage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Stock #:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
41,Ford,Bronco,2022,SUV  crossover,Blue Area 51,Dark Space Gray,0,1FMEE5DH9NLB06470,T37118,75220,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,,,,,0,,,,,,,,,,,,,
42,Ford,Bronco,2022,SUV  crossover,HOT Pepper Red MET Tint,Dark Space Gray,0,1FMEE5BP5NLB17640,T37117,75575,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,,,,,0,,,,,,,,,,,,,
43,Ford,Bronco,2022,SUV  crossover,Blue Area 51,Dark Space Gray,0,1FMEE5DH7NLB23705,T37236,76595,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,,,,,0,,,,,,,,,,,,,
44,Ford,Bronco,2022,SUV  crossover,Oxford White,Dark Space Gray,0,1FMDE5BH6NLB06084,T37147,77105,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,Outer Banks 4Door 4WD,,,,0,,,,,,,,,,,,,
45,Ford,Bronco,2022,SUV  crossover,Shadow Black,Dark Space Gray,68,1FMEE5BP2NLB10385,T37165,79670,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,,,,,0,,,,,,,,,,,,,
46,Ford,Bronco,2022,SUV  crossover,Cactus Gray,Dark Space Gray,0,1FMEE5DP2NLB48342,T37411,79835,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,,,,,0,,,,,,,,,,,,,
47,Ford,Bronco,2022,SUV  crossover,Eruption Green Metallic,Dark Space Gray,18,1FMDE5DHXNLA93191,6703E5D,81385,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,Outer Banks Advanced 4Door 4WD,,,,0,,,,,,,,,,,,,
48,Ford,Bronco,2022,SUV  crossover,Race Red,CLOTH SANDSTONEBLK SEATS BLACK ONYX INTERIOR,0,1FMEE5DP4NLB22776,T37190,83895,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,,,,,0,,,,,,,,,,,,,
49,Ford,Bronco,2022,SUV  crossover,Carbonized Gray Metallic,Dark Space Gray,0,1FMEE5DP4NLB49458,T37407,85000,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,,,,,0,,,,,,,,,,,,,
50,Ford,Bronco,2022,SUV  crossover,Blue Area 51,Blue STONE,22,1FMEE5DP6NLB08152,NLB08152,85040,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,Wildtrak Advanced 4Door 4WD,,,,0,,,,,,,,,,,,,
51,Ford,Bronco,2022,SUV  crossover,Blue Area 51,LTHRTRMVINYL SSTONEBLK STS BLACK ONYX INTERIOR,0,1FMEE5DP4NLB30618,T37301,85165,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,,,,,0,,,,,,,,,,,,,
52,Ford,Bronco,2022,SUV  crossover,Cyber Orange Tricoat,LTHRTRMVINYL SSTONEBLK STS BLACK ONYX INTERIOR,0,1FMEE5DP6NLB30670,T37291,87455,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,,,,,0,,,,,,,,,,,,,
53,Ford,Bronco,2022,SUV  crossover,Blue Area 51,LTHRTRMVINYL SSTONEBLK STS BLACK ONYX INTERIOR,0,1FMEE5DP1NLB32438,T37290,87480,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,,,,,0,,,,,,,,,,,,,
54,Ford,Bronco,2022,SUV  crossover,Blue Area 51,Dark Space Gray,0,1FMEE5DP6NLB32497,T37326,88825,Town East Ford,18411 L.B.J. Fwy. Mesquite TX 75150,,,,,0,,,,,,,,,,,,,
