,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Cabin Size:,NHTSA Overall Safety Rating:
28,"$50,073",,,"$48,957","Grapevine, TX
13 mi away",0 miles,Automatic,White,BLACK FABRIC,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB3NX012830,NX012830,New,"$50,073",Tundra,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092",Large Crew Cab,
29,"$50,312",,,"$50,312","Dallas, TX
29 mi away",13 miles,Automatic,Magnetic Gray Metallic,Gray (Boulder Fabric),"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFLA5EC0NX007782,NX007782,New,"$50,312",Tundra,Sport City Toyota,"12650 Lyndon B Johnson Fwy Dallas, TX 75228",Large Crew Cab,
30,"$51,376",,,"$51,376","Mckinney, TX
40 mi away",5 miles,Automatic,Magnetic Gray Metallic,Black,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB3NX009930,33508261Z,New,"$51,376",Tundra,Pat Lobb Toyota of McKinney,"3350 S Central Expy Mckinney, TX 75070",Large Crew Cab,
31,"$51,957",,,"$51,957","Granbury, TX
38 mi away",6 miles,Automatic,Black,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFLA5DB4NX040258,NX040258,New,"$51,957",Tundra,Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049",Large Crew Cab,
32,"$51,957",,,"$51,957","Weatherford, TX
32 mi away",6 miles,Automatic,Gray,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFLA5DB0NX039494,NX039494,New,"$51,957",Tundra,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087",Large Crew Cab,
33,"$51,957",,,"$51,957","Weatherford, TX
32 mi away",6 miles,Automatic,Silver,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFLA5DB7NX039427,NX039427,New,"$51,957",Tundra,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087",Large Crew Cab,
34,"$51,965",,,"$51,965","Granbury, TX
38 mi away",6 miles,Automatic,Gray,,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB5NX012196,NX012196,New,"$51,965",Tundra,Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049",Large Crew Cab,
35,"$53,073",,,"$51,957","Grapevine, TX
13 mi away",0 miles,Automatic,Midnight Black,Black,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFLA5DB7NX035412,NX035412,New,"$53,073",Tundra,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092",Large Crew Cab,
36,"$56,847",,,"$55,731","Grapevine, TX
13 mi away",0 miles,Automatic,White,White (BOULDER),"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFLA5DB6NX038463,NX038463,New,"$56,847",Tundra,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092",Large Crew Cab,
37,"$57,936",,,"$57,936","Granbury, TX
38 mi away",6 miles,Automatic,White,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,5TFJA5DB2NX039049,NX039049,New,"$57,936",Tundra,Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049",Large Crew Cab,
