,Dealer's Price:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Engine:,Drivetrain:,Fuel Type:,Cabin Size:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Delivery:,Price + Delivery:,Battery Performance:,NHTSA Overall Safety Rating:
74,"$34,100","$35,350","Kingsville, TX
190 mi away",0 miles,Automatic,White,Black,"22 MPG City
29 MPG Highway
25 MPG Combined",228 hp 2L I4,Front-Wheel Drive,Gasoline,,3GNKBCR40NS202323,22526,New,"$34,100",Blazer,Neessen Chevrolet Buick GMC Truck,"2007 S US Highway 77 Byp<br>Kingsville, TX 78363",Free,"$34,100",,
75,"$35,590","$34,795","Bossier City, LA
285 mi away",---,9-Speed Automatic Overdrive,Black,Jet Black,,228 hp 2L I4,Front-Wheel Drive,Gasoline,,3GNKBCR49NS196781,S196781,New,"$36,024",Blazer,Red River Chevrolet,"221 Traffic St<br>Bossier City, LA 71111",$433,"$36,024",,
76,"$36,961","$37,950","Fairfield, TX
138 mi away",2 miles,9-Speed Automatic Overdrive,Black,Jet Black,,228 hp 2L I4,Front-Wheel Drive,Gasoline,,3GNKBCR43NS200923,200923,New,"$37,179",Blazer,Freestone Autoplex,"1201 Hwy 84 West<br>Fairfield, TX 75840",$217,"$37,179",,
77,"$43,219","$40,220","New Boston, TX
298 mi away",13 miles,9-Speed Automatic Overdrive,Summit White,Jet Black,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBDRS0NS175435,G4637,New,"$43,515",Blazer,Coleman Chevrolet,"510 Addison St<br>New Boston, TX 75570",$296,"$43,515",,
78,"$42,141","$43,040","Katy, TX
124 mi away",2 miles,Automatic,Black,,"19 MPG City
27 MPG Highway
22 MPG Combined",308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBFRS5NS189150,2250529,New,"$42,330",Blazer,Westside Chevrolet,"23001 Katy Fwy<br>Katy, TX 77450",$189,"$42,330",,
79,"$43,442","$44,980","Houston, TX
140 mi away",2 miles,9-Speed Automatic Overdrive,Silver Ice Metallic,Jet Black,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBERS4NS145909,NS145909,New,"$43,652",Blazer,Classic Chevrolet of Houston,"7000 Southwest Fwy<br>Houston, TX 77074",$210,"$43,652",,
80,"$44,355","$45,605","Austin, TX
3 mi away",0 miles,Automatic,Silver Ice Metallic,"Jet Black, Perforated Leather-Appointed seat trim","19 MPG City
27 MPG Highway
22 MPG Combined",308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBERSXNS185184,185184,New,"$44,355",Blazer,Capitol Chevrolet,"6200 S I H 35<br>Austin, TX 78745",,,,
81,"$44,990",Not Provided,,271 miles,9-Speed Automatic Overdrive,Silver,Black,,308 hp 3.6L V6,All-Wheel Drive,Gasoline,,3GNKBJRS1NS124962,2001707982,New,"$44,990",Blazer,Carvana,"6200 S I H 35<br>Austin, TX 78745",Free,"$44,990",,
82,"$46,885","$46,885","Henrietta, TX
248 mi away",5 miles,9-Speed Automatic Overdrive,White (Iridescent Pearl Tricoat),Jet Black,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBERS2NS200339,NS200339,New,"$46,885",Blazer,Four Stars Auto Ranch Chevrolet Buick,"262 US HWY 287 S<br>Henrietta, TX 76365",Free,"$46,885",,
83,"$45,640","$45,140","Mandan, ND
1,158 mi away",7 miles,Automatic,Black,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBERS5NS190079,Z2395,New,"$47,370",Blazer,Kramer Chevrolet,"1500 2nd St Ne<br>Mandan, ND 58554","$1,729","$47,370",,
84,"$47,169","$44,870","New Boston, TX
298 mi away",7 miles,9-Speed Automatic Overdrive,Black,Jet Black,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBERS4NS143769,G4649,New,"$47,465",Blazer,Coleman Chevrolet,"510 Addison St<br>New Boston, TX 75570",$296,"$47,465",,
85,"$47,670","$47,670","Mckinney, TX
213 mi away",2 miles,9-Speed Automatic Overdrive,Red Hot,Jet Black,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBERS2NS203029,NS203029,New,"$47,670",Blazer,El Dorado Chevrolet,"2300 North Central Expressway<br>Mckinney, TX 75070",Free,"$47,670",,
86,"$46,725","$45,975","Selma, TX
55 mi away",10 miles,Automatic,Black,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBERS8NS196409,C220952,New,"$46,725",Blazer,"Gunn Chevrolet, Ltd.","16550 Interstate 35 N<br>Selma, TX 78154",Free,"$46,725",,
87,"$47,275","$46,525","Selma, TX
55 mi away",10 miles,Automatic,Red Hot,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBERS7NS196885,C220951,New,"$47,275",Blazer,"Gunn Chevrolet, Ltd.","16550 Interstate 35 N<br>Selma, TX 78154",Free,"$47,275",,
88,"$47,850","$47,520","Selma, TX
55 mi away",10 miles,Automatic,White (Iridescent Pearl Tricoat),Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBERS2NS196860,C220980,New,"$47,850",Blazer,"Gunn Chevrolet, Ltd.","16550 Interstate 35 N<br>Selma, TX 78154",Free,"$47,850",,
89,"$48,460","$47,960","Mandan, ND
1,158 mi away",15 miles,Automatic,Cherry Red Tintcoat,Jet Black,"19 MPG City
26 MPG Highway
22 MPG Combined",308 hp 3.6L V6,All-Wheel Drive,Gasoline,,3GNKBLRS1NS186146,Z2399,New,"$50,190",Blazer,Kramer Chevrolet,"1500 2nd St Ne<br>Mandan, ND 58554","$1,729","$50,190",,
90,"$49,675","$49,175","Mandan, ND
1,158 mi away",5 miles,Automatic,Iron Gray Metallic,Jet Black,"19 MPG City
26 MPG Highway
22 MPG Combined",308 hp 3.6L V6,All-Wheel Drive,Gasoline,,3GNKBLRS3NS205456,Z2405,New,"$51,405",Blazer,Kramer Chevrolet,"1500 2nd St Ne<br>Mandan, ND 58554","$1,729","$51,405",,
91,"$51,249","$45,610","Bartlesville, OK
462 mi away",5 miles,9-Speed Automatic Overdrive,Cherry Red Tintcoat,Jet Black/Maple Sugar,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBFRS7NS184791,220482,New,"$51,648",Blazer,Patriot Chevrolet,"3800 Se Adams Rd<br>Bartlesville, OK 74006",$399,"$51,648",,
92,No Price Listed,Not Provided,"Bastrop, TX
27 mi away",0 miles,Automatic,Black,Jet Black,"22 MPG City
29 MPG Highway
25 MPG Combined",228 hp 2L I4,Front-Wheel Drive,Gasoline,,3GNKBCR41NS202217,222139,New,FWD,Blazer,"Covert Chevrolet, Buick, GMC-Bastrop","702 State Highway 71 W<br>Bastrop, TX 78602",,,,
93,No Price Listed,Not Provided,"Bastrop, TX
27 mi away",0 miles,Automatic,Black,Jet Black,"22 MPG City
29 MPG Highway
25 MPG Combined",228 hp 2L I4,Front-Wheel Drive,Gasoline,,3GNKBCR42NS202095,222138,New,FWD,Blazer,"Covert Chevrolet, Buick, GMC-Bastrop","702 State Highway 71 W<br>Bastrop, TX 78602",,,,
94,No Price Listed,"$37,670","New Braunfels, TX
43 mi away",1 miles,9-Speed Automatic Overdrive,Black,Jet Black,,228 hp 2L I4,Front-Wheel Drive,Gasoline,,3GNKBCR49NS198479,198479,New,FWD,Blazer,ValMark Chevrolet,"725 S Ih 35<br>New Braunfels, TX 78130",,,,
95,No Price Listed,"$46,910","New Braunfels, TX
43 mi away",5 miles,9-Speed Automatic Overdrive,White (Iridescent Pearl Tricoat),Jet Black,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,,3GNKBERS3NS194860,194860,New,FWD,Blazer,ValMark Chevrolet,"725 S Ih 35<br>New Braunfels, TX 78130",,,,
96,"$50,190","$50,190","Austin, TX
8 mi away",7 miles,Automatic,Sting-Gray Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXCG7NW225733,J18021,New,"$50,190",Wrangler,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd<br>Austin, TX 78758",,,,
97,"$47,945","$47,945","Austin, TX
8 mi away",7 miles,Automatic,Black Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXCN5NW225728,J18023,New,"$47,945",Wrangler,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd<br>Austin, TX 78758",,,,
98,"$34,175","$37,275","Houston, TX
134 mi away",0 miles,8-Speed Automatic,Black,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4GJXAN0NW257291,257291,New,"$34,175",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",Free,"$34,175",,
99,"$37,940","$37,940","Austin, TX
16 mi away",10 miles,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4GJXAG4NW237157,NW237157,New,"$37,940",Wrangler,Nyle Maxwell CDJR Austin,"13817 U.S. 183<br>Austin, TX 78750",,,,
100,"$38,560","$38,560","San Marcos, TX
30 mi away",11 miles,8-Speed Automatic,Bright White Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG9NW180572,C20368,New,"$38,560",Wrangler,San Marcos Chrysler Dodge,"2990 I-35 S<br>San Marcos, TX 78666",,,,
101,"$38,660","$38,660","Lamesa, TX
301 mi away",15 miles,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG3NW194869,NW194869,New,"$38,962",Wrangler,Premier CDJR of Lamesa,"1611 Lubbock Hwy<br>Lamesa, TX 79331",$302,"$38,962",,
102,"$39,200","$39,200","Austin, TX
16 mi away",10 miles,8-Speed Automatic,Black Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG1NW235113,NW235113,New,"$39,200",Wrangler,Nyle Maxwell CDJR Austin,"13817 U.S. 183<br>Austin, TX 78750",,,,
103,"$39,370","$39,370","San Marcos, TX
30 mi away",0 miles,8-Speed Automatic,Black Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG9NW272555,C20536,New,"$39,370",Wrangler,San Marcos Chrysler Dodge,"2990 I-35 S<br>San Marcos, TX 78666",,,,
104,"$39,590",Not Provided,,273 miles,6-Speed Manual,Red,Black,"17 MPG City
25 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4GJXAG4MW759639,2001523949,New,"$39,590",Wrangler,Carvana,"2990 I-35 S<br>San Marcos, TX 78666",Free,"$39,590",,
105,"$39,685","$39,685","Austin, TX
16 mi away",10 miles,6-Speed Manual,Bright White Clearcoat,Black,"17 MPG City
25 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4GJXAG7NW211622,NW211622,New,"$39,685",Wrangler,Nyle Maxwell CDJR Austin,"13817 U.S. 183<br>Austin, TX 78750",,,,
106,"$39,575","$39,575","Kingsville, TX
187 mi away",0 miles,Automatic,Black,,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG7NW262882,22178,New,"$39,768",Wrangler,Neessen Chrysler Dodge Jeep Ram,"2151 N US Highway 77 Byp<br>Kingsville, TX 78363",$193,"$39,768",,
107,"$40,620","$40,620","Cedar Creek, TX
18 mi away",0 miles,8-Speed Automatic Overdrive,,,,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG1NW196006,NW196006,New,"$40,620",Wrangler,Sames Bastrop CDJ,"1586 Hwy 71 West<br>Cedar Creek, TX 78612",,,,
108,"$40,910","$39,910","Fairfield, TX
138 mi away",2 miles,8-Speed Automatic,Bright White Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4GJXANXNW223827,223827,New,"$41,128",Wrangler,Freestone Autoplex,"1201 Hwy 84 West<br>Fairfield, TX 75840",$217,"$41,128",,
109,"$41,175","$41,175","Austin, TX
16 mi away",11 miles,8-Speed Automatic,Bright White Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4GJXAG2NW175094,NW175094,New,"$41,175",Wrangler,Nyle Maxwell CDJR Austin,"13817 U.S. 183<br>Austin, TX 78750",,,,
110,"$41,180","$41,180","Lockhart, TX
27 mi away",15 miles,Automatic,PX8 Black Clear Coat,Black (A7X9),"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG2NW181210,NW181210,New,"$41,180",Wrangler,"Steele CJDR Lockhart, LLC","2000 S Colorado St<br>Lockhart, TX 78644",,,,
111,"$41,305","$40,305","Fairfield, TX
138 mi away",2 miles,8-Speed Automatic,Black Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4GJXAN8NW223826,223826,New,"$41,523",Wrangler,Freestone Autoplex,"1201 Hwy 84 West<br>Fairfield, TX 75840",$217,"$41,523",,
112,"$41,305","$40,305","Fairfield, TX
138 mi away",2 miles,8-Speed Automatic,Firecracker Red Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4GJXAN1NW223828,223828,New,"$41,523",Wrangler,Freestone Autoplex,"1201 Hwy 84 West<br>Fairfield, TX 75840",$217,"$41,523",,
113,"$42,270","$42,270","Austin, TX
16 mi away",24 miles,8-Speed Automatic,Bright White Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4GJXAN6NW195850,NW195850,New,"$42,270",Wrangler,Nyle Maxwell CDJR Austin,"13817 U.S. 183<br>Austin, TX 78750",,,,
114,"$42,740","$42,740","Austin, TX
8 mi away",7 miles,Automatic,Sarge Green Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4GJXAG3NW175069,J17924,New,"$42,740",Wrangler,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd<br>Austin, TX 78758",,,,
115,"$42,740","$42,740","Austin, TX
8 mi away",7 miles,Automatic,Sting-Gray Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4GJXAG1NW175071,J17956,New,"$42,740",Wrangler,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd<br>Austin, TX 78758",,,,
116,"$43,250","$43,250","San Antonio, TX
60 mi away",0 miles,Automatic,Black Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG1NW242112,W242112,New,"$43,449",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35<br>San Antonio, TX 78233",$199,"$43,449",,
117,"$44,300","$44,300","Austin, TX
16 mi away",10 miles,8-Speed Automatic,Sarge Green Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4GJXAN3NW233101,NW233101,New,"$44,300",Wrangler,Nyle Maxwell CDJR Austin,"13817 U.S. 183<br>Austin, TX 78750",,,,
118,"$43,955","$40,220","Wichita Falls, TX
255 mi away",12 miles,Automatic,Brown (Limited Edition Gobi Clearcoat),Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG8NW235481,J16075,New,"$44,336",Wrangler,Foundation Chrysler Dodge Jeep Ram - Wichita Falls,"2900 Old Jacksboro Hwy<br>Wichita Falls, TX 76302",$381,"$44,336",,
119,"$44,160","$43,160","Fairfield, TX
138 mi away",2 miles,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4GJXANXNW223830,223830,New,"$44,378",Wrangler,Freestone Autoplex,"1201 Hwy 84 West<br>Fairfield, TX 75840",$217,"$44,378",,
120,"$44,265","$43,265","Fairfield, TX
138 mi away",2 miles,8-Speed Automatic,Bright White Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4GJXAG1NW223829,223829,New,"$44,483",Wrangler,Freestone Autoplex,"1201 Hwy 84 West<br>Fairfield, TX 75840",$217,"$44,483",,
121,"$45,465","$45,465","Boulder, CO
796 mi away",2 miles,8-Speed Automatic,Sarge Green Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4GJXAN5NW206501,G220257,New,"$47,458",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy<br>Boulder, CO 80301","$1,992","$47,458",,
122,"$45,780","$45,780","Cedar Creek, TX
18 mi away",0 miles,8-Speed Automatic Overdrive,,,,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG2NW180879,NW180879,New,"$45,780",Wrangler,Sames Bastrop CDJ,"1586 Hwy 71 West<br>Cedar Creek, TX 78612",,,,
123,"$45,780","$45,780","Cedar Creek, TX
18 mi away",0 miles,8-Speed Automatic Overdrive,,,,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG0NW180878,NW180878,New,"$45,780",Wrangler,Sames Bastrop CDJ,"1586 Hwy 71 West<br>Cedar Creek, TX 78612",,,,
124,"$45,780","$45,780","Cedar Creek, TX
18 mi away",0 miles,8-Speed Automatic Overdrive,,,,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXAG9NW180877,NW180877,New,"$45,780",Wrangler,Sames Bastrop CDJ,"1586 Hwy 71 West<br>Cedar Creek, TX 78612",,,,
125,"$45,945","$45,945","Frisco, TX
206 mi away",6 miles,Manual,Gray,Black,"17 MPG City
25 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXCG2NW201906,53165216,New,"$46,344",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121<br>Frisco, TX 75035",$399,"$46,344",,
126,"$47,550","$47,550","Austin, TX
8 mi away",7 miles,Automatic,Bright White Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXCN7NW225729,J18029,New,"$47,550",Wrangler,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd<br>Austin, TX 78758",,,,
127,"$47,945","$47,945","Austin, TX
8 mi away",7 miles,Automatic,Black Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXCN5NW225728,J18023,New,"$47,945",Wrangler,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd<br>Austin, TX 78758",,,,
128,"$50,190","$50,190","Austin, TX
8 mi away",7 miles,Automatic,Sting-Gray Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXCG7NW225733,J18021,New,"$50,190",Wrangler,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd<br>Austin, TX 78758",,,,
129,"$50,525","$50,525","Austin, TX
3 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4GJXAG5NW259605,NW259605,New,"$50,525",Wrangler,South Point Dodge Chrysler Jeep,"5210 IH-35 South<br>Austin, TX 78745",,,,
130,"$50,535","$50,535","Frisco, TX
206 mi away",0 miles,Automatic,Red,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXCN0NW196137,53165436,New,"$50,934",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121<br>Frisco, TX 75035",$399,"$50,934",,
131,"$50,990","$50,990","Lamesa, TX
301 mi away",15 miles,8-Speed Automatic,Black Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXCG4NW180850,NW180850,New,"$51,292",Wrangler,Premier CDJR of Lamesa,"1611 Lubbock Hwy<br>Lamesa, TX 79331",$302,"$51,292",,
132,"$54,010","$54,010","Boulder, CO
796 mi away",6 miles,8-Speed Automatic,Black Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXCN7NW169209,G220249,New,"$56,003",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy<br>Boulder, CO 80301","$1,992","$56,003",,
133,"$58,305","$58,305","Austin, TX
3 mi away",---,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"22 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXCN0NW196011,NW196011,New,"$58,305",Wrangler,South Point Dodge Chrysler Jeep,"5210 IH-35 South<br>Austin, TX 78745",,,,
134,"$51,870","$51,870","Austin, TX
8 mi away",7 miles,Automatic,Bright White Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXDG9NW120514,J18099,New,"$51,870",Wrangler,Covert Chrysler Dodge Jeep Ram-Austin,"8107 Research Blvd<br>Austin, TX 78758",,,,
135,"$36,465","$39,565","Houston, TX
134 mi away",0 miles,8-Speed Automatic,Hydro Blue Pearlcoat,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXDN2NW231419,231419,New,"$36,465",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",Free,"$36,465",,
136,"$36,465","$39,565","Houston, TX
134 mi away",0 miles,8-Speed Automatic,Black,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXDN9NW231417,231417,New,"$36,465",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",Free,"$36,465",,
137,"$39,270","$42,370","Houston, TX
134 mi away",0 miles,8-Speed Automatic,Bright White,Brown (Heritage Tan/Black),"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXDNXNW252230,252230,New,"$39,270",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",Free,"$39,270",,
138,"$39,615","$42,715","Houston, TX
134 mi away",0 miles,8-Speed Automatic,Brown (Limited Edition Gobi),Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXDN1NW243593,243593,New,"$39,615",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",Free,"$39,615",,
139,"$39,665","$42,765","Houston, TX
134 mi away",0 miles,8-Speed Automatic,Sarge Green,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXDNXNW252227,252227,New,"$39,665",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",Free,"$39,665",,
140,"$41,609","$42,765","Houston, TX
134 mi away",1 miles,8-Speed Automatic,Sarge Green,Brown (Heritage Tan/Black),"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXDN3NW252232,NW252232,New,"$41,609",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",Free,"$41,609",,
141,"$39,885","$42,985","Houston, TX
134 mi away",0 miles,8-Speed Automatic,Black,Brown (Heritage Tan/Black),"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,,1C4HJXDG1NW240629,240629,New,"$39,885",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",Free,"$39,885",,
142,"$39,965","$43,065","Houston, TX
134 mi away",0 miles,8-Speed Automatic,Sarge Green,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,,1C4HJXDN5NW243595,243595,New,"$39,965",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",Free,"$39,965",,
143,"$40,060","$40,060","San Antonio, TX
60 mi away",0 miles,Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,,,Four-Wheel Drive,,,1C4HJXDN1NW253881,W253881,New,"$40,259",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35<br>San Antonio, TX 78233",$199,"$40,259",,
144,"$40,060","$40,060","San Antonio, TX
60 mi away",0 miles,Automatic,Sarge Green Clearcoat,Black,,,Four-Wheel Drive,,,1C4HJXDN3NW253882,W253882,New,"$40,259",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35<br>San Antonio, TX 78233",$199,"$40,259",,
