,Dealer's Price:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Engine:,Drivetrain:,Fuel Type:,Cabin Size:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Delivery:,Price + Delivery:,Battery Performance:,NHTSA Overall Safety Rating:
17,"$32,020",Not Provided,"Cleveland, TX
157 mi away",0 miles,Automatic,CACTUS GRAY,STONE/BLACK,,310 hp 2.7L V6,,Gasoline,,1FMEE5DP8NLB35076,F11676,New,"$32,174",Bronco,DeMontrond Ford,"3944 US 59 S<br>Cleveland, TX 77328",$154,"$32,174",,
18,"$40,470",Not Provided,"Cleveland, TX
157 mi away",0 miles,,Blue (AREA 51),GRAY/BLACK,,270 hp 2.3L I4,,Gasoline,,1FMDE5BH9NLB12171,F11583,New,"$40,624",Bronco,DeMontrond Ford,"3944 US 59 S<br>Cleveland, TX 77328",$154,"$40,624",,
19,"$42,015",Not Provided,"Cleveland, TX
157 mi away",0 miles,,Blue (AREA 51),GRAY/BLACK,,270 hp 2.3L I4,,Gasoline,,1FMDE5BH9NLB13062,F11684,New,"$42,169",Bronco,DeMontrond Ford,"3944 US 59 S<br>Cleveland, TX 77328",$154,"$42,169",,
20,"$44,495",Not Provided,"Cleveland, TX
157 mi away",0 miles,Automatic,CYBER ORANGE,VINYL BLACK,,310 hp 2.7L V6,,Gasoline,,1FMDE5CP1NLB31612,F11678,New,"$44,649",Bronco,DeMontrond Ford,"3944 US 59 S<br>Cleveland, TX 77328",$154,"$44,649",,
21,"$45,465","$45,465","Austin, TX
3 mi away",8 miles,Automatic,Oxford White,,"20 MPG City
21 MPG Highway
20 MPG Combined",270 hp 2.3L I4,Four-Wheel Drive,Gasoline,,1FMDE5BH6NLB45077,NLB45077,New,"$45,465",Bronco,Maxwell Ford,"5000 South IH-35<br>Austin, TX 78745",,,,
22,"$46,520","$46,520","San Marcos, TX
23 mi away",10 miles,,Blue (Area 51),Blue (SV),,270 hp 2.3L I4,Four-Wheel Drive,Gasoline,,1FMDE5BH2NLB33377,33377N,New,"$46,520",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35<br>San Marcos, TX 78666",,,,
23,"$46,775","$46,775","Austin, TX
3 mi away",8 miles,Automatic,Blue (Area 51),,"20 MPG City
21 MPG Highway
20 MPG Combined",270 hp 2.3L I4,Four-Wheel Drive,Gasoline,,1FMDE5BH8NLB45095,NLB45095,New,"$46,775",Bronco,Maxwell Ford,"5000 South IH-35<br>Austin, TX 78745",,,,
24,"$49,115","$49,115","Austin, TX
3 mi away",11 miles,Automatic,Shadow Black,,"19 MPG City
20 MPG Highway
19 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5BP1NLB44446,NLB44446,New,"$49,115",Bronco,Maxwell Ford,"5000 South IH-35<br>Austin, TX 78745",,,,
25,"$49,115","$49,115","Austin, TX
3 mi away",11 miles,Automatic,Cactus Gray,,"19 MPG City
20 MPG Highway
19 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5BP4NLB43551,NLB43551,New,"$49,115",Bronco,Maxwell Ford,"5000 South IH-35<br>Austin, TX 78745",,,,
26,"$62,955","$52,955","Gladewater, TX
230 mi away",10 miles,Automatic,Velocity Blue Metallic,Blue (Roast),"20 MPG City
21 MPG Highway
20 MPG Combined",270 hp 2.3L I4,Four-Wheel Drive,Gasoline,,1FMDE5BH4NLA82318,22T219,New,"$63,115",Bronco,"J.O. Williams Motors, Inc.","419 E Broadway Ave.<br>Gladewater, TX 75647",$159,"$63,115",,
27,"$51,760","$51,760","Austin, TX
3 mi away",8 miles,Automatic,Race Red,,"19 MPG City
20 MPG Highway
19 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5BPXNLB44588,NLB44588,New,"$51,760",Bronco,Maxwell Ford,"5000 South IH-35<br>Austin, TX 78745",,,,
28,"$54,270","$54,270","San Marcos, TX
23 mi away",10 miles,,Shadow Black,Black (PV),"19 MPG City
20 MPG Highway
19 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5DP6NLB31740,31740N,New,"$54,270",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35<br>San Marcos, TX 78666",,,,
29,"$54,920","$54,920","San Marcos, TX
23 mi away",10 miles,,Shadow Black,Black (RV),,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5DP4NLB25337,25337N,New,"$54,920",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35<br>San Marcos, TX 78666",,,,
30,"$55,725","$55,725","San Marcos, TX
23 mi away",10 miles,,Iconic Silver Metallic,Silver (2V),,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5DP3NLB09887,09887N,New,"$55,725",Bronco,Griffith Ford San Marcos,"2661 N Interstate 35<br>San Marcos, TX 78666",,,,
