vin,msrp,dealer's price,price,make,model,year,transmission,mileage,dealer name,dealer address,lat,lng
1C4JJXR65NW158825,73055,77888,77888,Jeep,Wrangler,2022,8 Speed Automatic,0 miles,Helfman Dodge Chrysler Jeep Ram,"7720 Katy Freeway, Houston, TX 77024",29.7856569,-95.4695896
5TFKB5AA2NX012284,38878,38878,38878,Toyota,Tundra,2022,Automatic,5 miles,Fred Haas Toyota World,"20400 Interstate 45, Spring, TX 77373",30.0605658,-95.4310959
5TFKB5AA4NX012271,38878,38878,38878,Toyota,Tundra,2022,Automatic,5 miles,Fred Haas Toyota World,"20400 Interstate 45, Spring, TX 77373",30.0605658,-95.4310959
5TFKB5AB8NX011732,42220,42220,42220,Toyota,Tundra,2022,Automatic,0 miles,Toyota of Katy,"21555 Katy Freeway, Katy, TX 77450",29.7835556,-95.7420479
5TFKB5DB1NX038833,45101,45101,45101,Toyota,Tundra,2022,Automatic,0 miles,Mike Calvert Toyota,"2333 South Loop West, Houston, TX 77054",29.6761391,-95.4140206
5TFKB5DB8NX039381,46719,46719,46719,Toyota,Tundra,2022,Automatic,7 miles,Fred Haas Toyota Country,"22435 State Highway 249, Houston, TX 77070",30.0067283,-95.5887247
5TFLA5AA6NX012876,47381,47381,47381,Toyota,Tundra,2022,Automatic,5 miles,Fred Haas Toyota World,"20400 Interstate 45, Spring, TX 77373",30.0605658,-95.4310959
5TFLA5AB8NX007963,47976,47976,47976,Toyota,Tundra,2022,Automatic,5 miles,Fred Haas Toyota World,"20400 Interstate 45, Spring, TX 77373",30.0605658,-95.4310959
5TFLA5BC3NX001849,48905,48905,48905,Toyota,Tundra,2022,Automatic,0 miles,Gullo Toyota of Conroe,"500 I-45 South, Conroe, TX 77304",30.3009349,-95.4686477
5TFLA5AB5NX013171,48906,50401,50401,Toyota,Tundra,2022,Automatic,5 miles,Sterling McCall Toyota Fort Bend,"20465 Southwest Freeway, Richmond, TX 77469",29.5586332,-95.6946978
5TFLA5AB1NX012082,48957,48957,48957,Toyota,Tundra,2022,Automatic,0 miles,Toyota of Katy,"21555 Katy Freeway, Katy, TX 77450",29.7835556,-95.7420479
5TFLA5BC7NX001966,48984,48984,48984,Toyota,Tundra,2022,Automatic,5 miles,Fred Haas Toyota World,"20400 Interstate 45, Spring, TX 77373",30.0605658,-95.4310959
