VIN Number,MSRP,Dealer's Price,Price,Make,Model,Year,Transmission,Mileage,Dealer Name,Dealer Address
3GNKBCR43NS200923,"$37,950 ","$36,961 ","$37,281 ",,Blazer,2022,9-Speed Automatic Overdrive,2 miles,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
3GNKBCR47NS203520,"$37,855 ","$37,855 ","$37,855 ",,Blazer,2022,Automatic,5 miles,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006"
3GNKBFRS5NS189150,"$43,040 ","$42,141 ","$42,386 ",,Blazer,2022,Automatic,2 miles,Westside Chevrolet,"23001 Katy Fwy Katy, TX 77450"
3GNKBERS4NS145909,"$44,980 ","$43,442 ","$43,706 ",,Blazer,2022,9-Speed Automatic Overdrive,2 miles,Classic Chevrolet of Houston,"7000 Southwest Fwy Houston, TX 77074"
3GNKBJRS1NS124962,Not Provided,"$44,990 ","$44,990 ",,Blazer,2022,9-Speed Automatic Overdrive,271 miles,Carvana,"7000 Southwest Fwy Houston, TX 77074"
3GNKBERS2NS200339,"$46,885 ","$46,885 ","$46,885 ",,Blazer,2022,9-Speed Automatic Overdrive,5 miles,Four Stars Auto Ranch Chevrolet Buick,"262 US HWY 287 S Henrietta, TX 76365"
3GNKBERS8NS195163,"$46,015 ","$46,015 ","$46,015 ",,Blazer,2022,Automatic,5 miles,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006"
3GNKBERSXNS195987,"$46,370 ","$46,370 ","$46,370 ",,Blazer,2022,Automatic,10 miles,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006"
3GNKBERS2NS203029,"$47,670 ","$47,670 ","$47,670 ",,Blazer,2022,9-Speed Automatic Overdrive,2 miles,El Dorado Chevrolet,"2300 North Central Expressway Mckinney, TX 75070"
3GNKBERS8NS196409,"$45,975 ","$46,725 ","$46,725 ",,Blazer,2022,Automatic,10 miles,"Gunn Chevrolet, Ltd.","16550 Interstate 35 N Selma, TX 78154"
3GNKBERS7NS196885,"$46,525 ","$47,275 ","$47,275 ",,Blazer,2022,Automatic,10 miles,"Gunn Chevrolet, Ltd.","16550 Interstate 35 N Selma, TX 78154"
3GNKBERS2NS196860,"$47,520 ","$47,850 ","$47,850 ",,Blazer,2022,Automatic,10 miles,"Gunn Chevrolet, Ltd.","16550 Interstate 35 N Selma, TX 78154"
1C4GJXAN0NW257291,"$37,275 ","$34,175 ","$34,175 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXAG9NW180572,"$38,560 ","$38,560 ","$38,560 ",,Wrangler,2022,8-Speed Automatic,11 miles,San Marcos Chrysler Dodge,"2990 I-35 S San Marcos, TX 78666"
1C4HJXAG3NW194869,"$38,660 ","$38,660 ","$38,968 ",,Wrangler,2022,8-Speed Automatic,15 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331"
1C4HJXAG9NW272555,"$39,370 ","$39,370 ","$39,370 ",,Wrangler,2022,8-Speed Automatic,0 miles,San Marcos Chrysler Dodge,"2990 I-35 S San Marcos, TX 78666"
1C4GJXAG4MW759639,Not Provided,"$39,590 ","$39,590 ",,Wrangler,2022,6-Speed Manual,273 miles,Carvana,"2990 I-35 S San Marcos, TX 78666"
1C4HJXAG7NW262882,"$39,575 ","$39,575 ","$39,719 ",,Wrangler,2022,Automatic,0 miles,Neessen Chrysler Dodge Jeep Ram,"2151 N US Highway 77 Byp Kingsville, TX 78363"
1C4GJXAN4NW175564,"$41,330 ","$40,561 ","$40,561 ",,Wrangler,2022,8-Speed Automatic,11 miles,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009"
1C4GJXANXNW175567,"$41,330 ","$40,716 ","$40,716 ",,Wrangler,2022,8-Speed Automatic,29 miles,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009"
1C4GJXANXNW223827,"$39,910 ","$40,910 ","$41,230 ",,Wrangler,2022,8-Speed Automatic,2 miles,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
1C4GJXAN8NW223826,"$40,305 ","$41,305 ","$41,625 ",,Wrangler,2022,8-Speed Automatic,2 miles,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
1C4GJXAN1NW223828,"$40,305 ","$41,305 ","$41,625 ",,Wrangler,2022,8-Speed Automatic,2 miles,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
1C4HJXAG1NW242112,"$43,250 ","$43,250 ","$43,250 ",,Wrangler,2022,Automatic,0 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
1C4GJXANXNW223830,"$43,160 ","$44,160 ","$44,480 ",,Wrangler,2022,8-Speed Automatic,2 miles,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
1C4GJXAG1NW223829,"$43,265 ","$44,265 ","$44,585 ",,Wrangler,2022,8-Speed Automatic,2 miles,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
1C4HJXCG2NW201906,"$45,945 ","$45,945 ","$46,344 ",,Wrangler,2022,Manual,6 miles,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
1C4HJXCN0NW196137,"$50,535 ","$50,535 ","$50,934 ",,Wrangler,2022,Automatic,0 miles,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
