Unnamed: 0,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Stock #:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
14,Jeep,Wrangler,2022.0,SUV / crossover,Gray,Black,1 mi,1C4HJXDM4NW252456,0J220753,"$45,725",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099",Sport S 4WD,,,,,,,,,,,,,,,,,
15,Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,5 mi,1C4HJXDN5NW226506,NW226506,"$45,745",Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy Manvel, TX 77578",Sport Altitude 4WD,,,,,,,,,,,,,,,,,
16,Jeep,Wrangler,2022.0,SUV / crossover,Black,Black,24 mi,1C4HJXDG5NW180130,B220959,"$46,015",Bayway Chrysler Dodge Jeep Ram,"4000 Pasadena Fwy Pasadena, TX 77503",Sport S 4WD,,,,,,,,,,,,,,,,,
17,Jeep,Wrangler,2022.0,SUV / crossover,Gray,Black,1 mi,1C4HJXDM2NW252455,0J220776,"$46,175",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099",Sport S 4WD,,,,,,,,,,,,,,,,,
18,Jeep,Wrangler,2022.0,SUV / crossover,Red,Black,1 mi,1C4HJXDM9NW225642,0J220814,"$46,175",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099",Sport S 4WD,,,,,,,,,,,,,,,,,
19,Jeep,Wrangler,2022.0,SUV / crossover,Green,Black,1 mi,1C4HJXDM7NW252452,0J220813,"$46,175",Gillman Jeep,"10575 W Sam Houston Pkwy S Houston, TX 77099",Sport S 4WD,,,,,,,,,,,,,,,,,
20,Jeep,Wrangler,2022.0,SUV / crossover,Silver Zynith,Black,0 mi,1C4HJXDG6NW179939,179939,"$46,555",Bayway Chrysler Dodge Jeep Ram,"4000 Pasadena Fwy Pasadena, TX 77503",Sport Altitude 4WD,,,,,,,,,,,,,,,,,
21,Jeep,Wrangler,2022.0,SUV / crossover,Black,Black,0 mi,1C4HJXDM8NW231982,231982,"$46,775",Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",Willys 4WD,,,,,,,,,,,,,,,,,
22,Jeep,Wrangler,2022.0,SUV / crossover,Silver Zynith Clearcoat,Black,19 mi,1C4HJXDM6NW259103,NW259103,"$46,925",Yaklin Chrysler Dodge Jeep Ram of Angleton,"1212 S Velasco St Angleton, TX 77515",Willys 4WD,,,,,,,,,,,,,,,,,
23,Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal),Black,0 mi,1C4HJXDN4NW240056,240056,"$46,960",Bayshore Chrysler Jeep Dodge,"5225 I-10 East Baytown, TX 77521",Willys 4WD,,,,,,,,,,,,,,,,,
24,Jeep,Wrangler,2022.0,SUV / crossover,Bright White,Black,0 mi,1C4HJXDN2NW240055,240055,"$47,115",Bayshore Chrysler Jeep Dodge,"5225 I-10 East Baytown, TX 77521",Willys 4WD,,,,,,,,,,,,,,,,,
25,Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,White (A7x9),,1C4HJXDG6NW240173,52637645,"$47,140",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
26,Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,White (A7x9),,1C4HJXDG1NW240176,52637648,"$47,140",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
27,Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,,1C4HJXDN9NW251568,52637406,"$47,185",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
28,Jeep,Wrangler,2022.0,SUV / crossover,Firecracker Red Clearcoat,Black,,1C4HJXDN5NW251566,52637404,"$47,185",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
